,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
OPXCUUJACRRYMC-UHFFFAOYSA-N,5.328,0.15803283,0.055998572,0.055998572,0.1289019,0.08888713,0.07339513,0.12728456,0.18816876,0.16955325,0.06376336,,0.04157148,0.06360436,,,0.066886,0.065496339,0.06228,
OQEINIBVOPRVOG-UHFFFAOYSA-N,8.599,0.12245484,0.057919081,0.057919081,0.10691245,0.09388858,0.0940416,0.10061392,0.16417642,0.17891723,0.03706903,0.04123001,0.04125012,0.052913,0.05903875,0.06088194,,,,
ORPHOKOVVUFNKE-UHFFFAOYSA-N,7.301,0.17652543,0.074401641,0.074401641,0.12596577,0.1253649,0.1253123,0.12065393,0.16594863,0.16396856,0.05981096,0.05639853,0.05638567,0.04283249,0.06296942,0.06363647,0.070942,0.078936561,0.073376,
OSOIQJGOYGSIMF-UHFFFAOYSA-N,5.772,0.16644958,0.068100511,0.068100511,0.10922724,0.09557414,0.09560394,0.10531837,0.16441298,0.1581304,0.03403996,0.03923521,0.03928967,0.0323152,0.04746501,0.04376293,0.06575,0.071397533,,
OSWPMRLSEDHDFF-UHFFFAOYSA-N,3.773,0.13503954,0.050709665,0.050709665,0.11191395,0.11621171,0.11626237,0.10919756,0.14198792,0.13827163,0.03090641,0.03844143,0.03844608,0.02890755,0.03615279,0.03442439,0.052556,0.051195073,0.051004,
OUMGIYIBWRLOAF-UHFFFAOYSA-N,6.172,0.105577946,0.051237354,0.051237354,0.1272625,0.08316293,0.08317636,0.108106785,0.1429438,0.15653315,0.04098027,0.02991214,0.02991383,0.03266898,0.04924088,0.05361563,0.049988,0.069979652,0.047958,
OXHNLMTVIGZXSG-UHFFFAOYSA-N,3.646,0.14773956,0.05282862,0.05282862,0.14976273,0.09803459,0.0980393,0.11270958,0.155688,0.16641092,0.06570645,0.04699974,0.04700049,0.05381332,0.07035585,0.07095504,0.046273,,0.044405,
OZJPLYNZGCXSJM-UHFFFAOYSA-N,6.55,0.18323669,0.077533685,0.077533685,0.13058165,0.116473034,0.11646892,0.12425129,0.17262954,0.165028,0.05397642,0.05586694,0.05587462,0.04567727,0.06477009,0.05810303,0.075804,0.091267832,0.07747,
OZKOMUDCMCEDTM-UHFFFAOYSA-N,7.217,0.116570726,0.061042977,0.061042977,0.10953358,0.07193845,0.07192167,0.092778355,0.11289623,0.12586227,0.0387621,0.03443683,0.03443851,0.03454205,0.03736482,0.0390208,0.066356,0.071386247,0.064741,
OZNXTQSXSHODFR-CHIWXEEVSA-N,2.662,0.09355263,0.031796206,0.031796206,0.057691805,0.057728626,0.07083715,0.03663137,0.103846945,0.09880316,0.02061814,,0.02049878,0.0152068,,,0.035831,0.034857756,0.03279,
PAAZPARNPHGIKF-UHFFFAOYSA-N,1.662,,0.01582236,0.01582236,0.018549621,0.024421826,0.029368266,0.028688638,0.04127676,0.031429004,0.005541534,,0.005381836,0.006355469,,,0.016554,,0.015414,
PAFZNILMFXTMIY-UHFFFAOYSA-N,8.15,0.1748249,0.07835517,0.07835517,0.073872566,0.05178483,0.051820442,0.06522103,0.14121604,0.14274229,0.04071637,0.03971535,0.03971725,0.03389259,0.05354931,0.05648327,0.07777,0.087528503,0.071293,
PAMIQIKDUOTOBW-UHFFFAOYSA-N,7.75,0.13536115,0.048242712,0.048242712,0.10935927,0.082225725,0.08222998,0.047184184,0.15172142,0.17896456,0.04179298,0.0369201,0.03691997,0.04002758,0.05976872,0.06241431,0.060817,0.061208694,0.06101,
PAMJENUKCYUKLC-UHFFFAOYSA-N,6.9,0.12998818,0.063679662,0.063679662,0.12131119,0.114610195,0.11490772,0.14117528,0.14114417,0.13409287,0.05844229,0.05337889,0.05319654,0.05432859,0.06880327,0.06954597,0.061678,,,
