,Experiment,NWChem,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,w06-2x+def2-TZVPP
SGHBRHKBCLLVCI-UHFFFAOYSA-N,4.5,0.11757,0.200698730,0.104329730,0.104329730,0.098682580,0.084076190,0.084188070,0.092915440,0.137670530,0.142938850,0.043884170,0.041333560,0.041310370,0.043036570,0.049020750,0.049025390,0.120177000
SIKJAQJRHWYJAI-UHFFFAOYSA-N,3.1,0.090487,0.149854270,0.073268698,0.073268698,0.104141810,0.083447635,0.083424850,0.091558860,0.111151930,0.119098870,0.040750920,0.035256110,0.035258740,0.038067220,0.043548520,0.046135340,0.096928000
SJTBRFHBXDZMPS-UHFFFAOYSA-N,4.1,0.108492,0.187951280,0.099185256,0.099185256,0.093454460,0.081694020,0.081711380,0.086189760,0.130858630,0.134540170,0.037988660,0.039217790,0.039219200,0.036538510,0.043820130,0.043472720,0.111775000
SLYRGJDSFOCAAI-UHFFFAOYSA-N,3.6,0.083539,0.141828570,0.060759706,,0.074127614,0.054037523,0.049185738,0.056336395,0.104977460,0.101005820,0.030186120,,0.025435170,0.029221840,,,0.086580000
SMBLCBJIVZBEPF-PEZBUJJGSA-N,,0.08894,0.149025660,0.083222097,0.083222097,0.075880480,0.062245812,0.062177308,0.064568210,0.095785440,0.092384220,0.024524920,0.022553940,0.022570110,0.018647550,0.027341390,0.026386440,
STABAPSYCQFWOK-UHFFFAOYSA-N,2.9,0.0716,0.108646214,0.073542403,0.073542403,0.081743464,0.070447660,0.073377650,0.064585150,0.093448530,0.093365180,0.026044220,,0.031589290,0.025831920,,,0.077321000
SUFGUGHOVHXSII-UHFFFAOYSA-N,2.1,0.055433,0.090610130,0.044598550,0.044598550,0.073416710,0.060324952,0.059417890,0.071498110,0.069728870,0.067884500,0.031195000,,0.028370290,0.035724970,,,0.062810000
SUVIGLJNEAMWEG-UHFFFAOYSA-N,1.4,0.036494,0.064827230,0.036979696,0.036979696,0.024127875,0.013278004,0.011824727,0.022164106,0.068217784,0.058599852,0.010928820,,0.007986063,0.015038520,,,0.042237000
SVHOVVJFOWGYJO-UHFFFAOYSA-N,3.4,0.095807,,0.094186150,0.094186150,0.099316850,0.092504260,0.095071840,0.088473810,0.148686980,0.142616270,0.025636920,,0.029094910,0.020076820,,,0.099651000
SZIFAVKTNFCBPC-UHFFFAOYSA-N,2.9,0.097032,0.168874100,0.088051907,0.088051907,0.072511790,0.070472494,0.073282270,0.067389645,0.103844420,0.109433250,0.025351230,,0.031973790,0.024983750,,,0.099414000
TUAMRELNJMMDMT-UHFFFAOYSA-N,3.6,0.098828,0.166146370,0.091992586,0.091992586,0.076855640,0.068063870,0.068079710,0.071738720,0.108022325,0.111271490,0.030027690,0.032153640,0.032155950,0.027929630,0.035351110,0.035229660,0.101453000
TXFPEBPIARQUIG-UHFFFAOYSA-N,4.3,0.112417,0.189164900,0.102590182,0.102590182,0.097827240,0.084799900,0.084851350,0.088687430,0.135307330,0.136592820,0.037257390,0.038190820,0.038193520,0.033923870,0.045579530,0.044242090,0.114554000
TXZFPFSKKKPJIK-UHFFFAOYSA-N,,0.044401,,0.043732153,0.043732153,0.143933600,0.057856202,0.060312893,0.126412380,0.093848090,0.089164030,0.030927400,,0.021295400,0.026361020,,,
TYMLOMAKGOJONV-UHFFFAOYSA-N,3.1,0.098497,0.161190960,0.081832292,0.081832292,0.125892670,0.085829970,0.085881725,0.112942340,0.141076450,0.144173770,0.049751720,0.042344900,0.042468760,0.044386450,0.053649940,0.053558150,0.100423000
TZAJCDOWOPBMKD-UHFFFAOYSA-N,2.6,0.063673,0.099637640,0.070385751,0.070385751,0.068979260,0.064268300,0.064416780,0.061739534,0.079933584,0.074067550,0.030587390,0.028245350,0.028271240,0.028749130,0.035684400,0.033170610,0.070765000
UEXCJVNBTNXOEH-UHFFFAOYSA-N,1.6,0.055779,0.087425960,0.048556171,0.048556171,0.089058070,0.065093815,0.065094486,0.077626480,0.069176000,0.069540300,0.035000660,0.027542140,0.027543260,0.036195510,0.028252940,0.028209460,0.063208000
UGEJOEBBMPOJMT-UHFFFAOYSA-N,4.3,0.111865,0.200822430,0.099951781,0.099951781,0.105185060,0.093436554,0.093483046,0.095700760,0.140603630,0.145153760,0.044031700,0.045358960,0.045346180,0.041834810,0.049370620,0.049353180,0.115001000
